,Name,API_Name,Instance_Memory,vCPUs,Instance_Storage,Network_Performance,On_Demand,Linux_Reserved_cost,Linux_Spot_Minimum_cost,Windows_On_Demand_cost,Windows_Reserved_cost
649,M6A 32xlarge,m6a.32xlarge,512,12,EBS only,50 Gigabit,5.5296,$3.6578 hourly,$2.3612 hourly,$11.4176 hourly,$9.5458 hourly
650,M7A 24xlarge,m7a.24xlarge,384,96,EBS only,37.5 Gigabit,5.5642,$3.6807 hourly,$2.1421 hourly,$9.9802 hourly,$8.0967 hourly
651,R6IN 16xlarge,r6in.16xlarge,512,64,EBS only,100 Gigabit,5.5786,$3.5145 hourly,$2.8768 hourly,$8.5226 hourly,$6.4585 hourly
652,G5 Graphics and Machine Learning GPU 12xlarge,g5.12xlarge,192,48,3800 GB                 NVMe SSD,40 Gigabit,5.672,$3.5734 hourly,$2.5613 hourly,$7.8800 hourly,$5.7814 hourly
653,M6ID 24xlarge,m6id.24xlarge,384,96,5700 GB                 (4 * 1425 GB NVMe SSD),37.5 Gigabit,5.6952,$3.5880 hourly,$2.5677 hourly,$10.1112 hourly,$8.0040 hourly
654,M5N 24xlarge,m5n.24xlarge,384,96,EBS only,100 Gigabit,5.712,$3.5990 hourly,$2.3290 hourly,$10.1280 hourly,$8.0150 hourly
655,M5N Metal,m5n.metal,384,96,EBS only,100 Gigabit,5.712,$3.5990 hourly,$2.5620 hourly,$10.1280 hourly,$8.0150 hourly
656,IM4GN 16xlarge,im4gn.16xlarge,256,64,30000 GB                 (4 * 7500 GB NVMe SSD),100 Gigabit,5.8207,$3.7330 hourly,$2.3519 hourly,,
657,R7IZ 16xlarge,r7iz.16xlarge,512,64,EBS only,25 Gigabit,5.952,$3.7498 hourly,$2.5742 hourly,$8.8960 hourly,$6.6938 hourly
658,R7IZ Metal-16xl,r7iz.metal-16xl,512,64,EBS only,25 Gigabit,5.952,$3.7498 hourly,$2.4085 hourly,$8.8960 hourly,$6.6938 hourly
659,R5 Metal,r5.metal,768,96,EBS only,25 Gigabit,6.048,$3.8100 hourly,$2.5524 hourly,$10.4640 hourly,$8.2260 hourly
660,R5 24xlarge,r5.24xlarge,768,96,EBS only,25 Gigabit,6.048,$3.8100 hourly,$2.5546 hourly,$10.4640 hourly,$8.2260 hourly
661,R6I 24xlarge,r6i.24xlarge,768,96,EBS only,37.5 Gigabit,6.048,$4.0008 hourly,$2.7512 hourly,$10.4640 hourly,$8.4168 hourly
662,M6I 32xlarge,m6i.32xlarge,512,12,EBS only,50 Gigabit,6.144,$4.0643 hourly,$2.8415 hourly,$12.0320 hourly,$9.9523 hourly
663,M6I Metal,m6i.metal,512,12,EBS only,50 Gigabit,6.144,$4.0643 hourly,$2.4804 hourly,$12.0320 hourly,$9.9523 hourly
664,R6IDN 16xlarge,r6idn.16xlarge,512,64,3800 GB                 (2 * 1900 GB NVMe SSD),100 Gigabit,6.2525,$3.9391 hourly,$2.6135 hourly,$9.1965 hourly,$6.8831 hourly
665,R5AD 24xlarge,r5ad.24xlarge,768,96,3600 GB                 (4 * 900 GB NVMe SSD),20 Gigabit,6.288,$3.9610 hourly,$2.8513 hourly,$10.7040 hourly,$8.3770 hourly
666,D3EN 12xlarge,d3en.12xlarge,192,48,335520 GB                 (24 * 13980 GB NVMe HDD),75 Gigabit,6.3086,$3.9744 hourly,$2.6499 hourly,$8.5166 hourly,$6.1824 hourly
667,R7I Metal-24xl,r7i.metal-24xl,768,96,EBS only,37.5 Gigabit,6.3504,$4.2008 hourly,$2.2165 hourly,$10.7664 hourly,$8.6168 hourly
668,R7I 24xlarge,r7i.24xlarge,768,96,EBS only,37.5 Gigabit,6.3504,$4.2008 hourly,$2.6087 hourly,$10.7664 hourly,$8.6168 hourly
669,C6ID 32xlarge,c6id.32xlarge,256,12,7600 GB                 (4 * 1900 GB NVMe SSD),50 Gigabit,6.4512,$4.0656 hourly,$2.7067 hourly,$12.3392 hourly,$9.9536 hourly
670,C6ID Metal,c6id.metal,256,12,7600 GB                 (4 * 1900 GB NVMe SSD),50 Gigabit,6.4512,$4.0656 hourly,$2.8160 hourly,$12.3392 hourly,$9.9536 hourly
671,INF2 24xlarge,inf2.24xlarge,384,96,EBS only,50 Gigabit,6.4906,$4.0891 hourly,$2.4588 hourly,,
672,M5DN 24xlarge,m5dn.24xlarge,384,96,3600 GB                 (4 * 900 GB NVMe SSD),100 Gigabit,6.528,$4.1130 hourly,$2.7150 hourly,$10.9440 hourly,$8.5290 hourly
673,M5DN Metal,m5dn.metal,384,96,3600 GB                 (4 * 900 GB NVMe SSD),100 Gigabit,6.528,$4.1130 hourly,$2.7104 hourly,$10.9440 hourly,$8.5290 hourly
674,C7A 32xlarge,c7a.32xlarge,256,12,EBS only,50 Gigabit,6.569,$4.3454 hourly,$1.7256 hourly,$12.4570 hourly,$10.2334 hourly
675,X2IDN 16xlarge,x2idn.16xlarge,1024,64,1900 GB                 NVMe SSD,50 Gigabit,6.669,$4.1034 hourly,$2.7466 hourly,$9.6130 hourly,$7.0474 hourly
676,X1 Extra High-Memory 16xlarge,x1.16xlarge,976,64,1920 GB                 SSD,10 Gigabit,6.669,$4.1100 hourly,$2.7673 hourly,$9.6130 hourly,$7.0540 hourly
677,X2IEDN Eight Extra Large,x2iedn.8xlarge,1024,32,950 GB                 NVMe SSD,25 Gigabit,6.669,$4.1034 hourly,$2.6774 hourly,$8.1410 hourly,$5.5754 hourly
678,X1E Eight Extra Large,x1e.8xlarge,976,32,960 GB                 SSD,Up to 10 Gigabit,6.672,$4.1120 hourly,$2.5524 hourly,$8.1440 hourly,$5.5840 hourly
679,X2IEZN Eight Extra Large,x2iezn.8xlarge,1024,32,EBS only,75 Gigabit,6.672,$4.1076 hourly,$2.9627 hourly,$8.1440 hourly,$5.5796 hourly
680,G6 Graphics and Machine Learning GPU 24xlarge,g6.24xlarge,384,96,15200 GB                 (4 * 3800 GB NVMe SSD),50 Gigabit,6.6752,$4.3456 hourly,$1.0339 hourly,$11.0912 hourly,$8.7616 hourly
681,M6IN 24xlarge,m6in.24xlarge,384,96,EBS only,150 Gigabit,6.683,$4.2103 hourly,$3.1132 hourly,$11.0990 hourly,$8.6263 hourly
682,I2 Eight Extra Large,i2.8xlarge,244,32,6400 GB                 (8 * 800 GB SSD),10 Gigabit,6.82,$3.3920 hourly,$2.7336 hourly,$7.7820 hourly,$4.5210 hourly
683,R5D 24xlarge,r5d.24xlarge,768,96,3600 GB                 (4 * 900 GB NVMe SSD),25 Gigabit,6.912,$4.3550 hourly,$2.7996 hourly,$11.3280 hourly,$8.7710 hourly
684,R5D Metal,r5d.metal,768,96,3600 GB                 (4 * 900 GB NVMe SSD),25 Gigabit,6.912,$4.3550 hourly,$2.9983 hourly,$11.3280 hourly,$8.7710 hourly
685,R5N Metal,r5n.metal,768,96,EBS only,100 Gigabit,7.152,$4.5060 hourly,$3.5700 hourly,$11.5680 hourly,$8.9220 hourly
686,R5B Metal,r5b.metal,768,96,EBS only,25 Gigabit,7.152,$4.5058 hourly,$3.4925 hourly,$11.5680 hourly,$8.9218 hourly
687,R5N 24xlarge,r5n.24xlarge,768,96,EBS only,100 Gigabit,7.152,$4.5060 hourly,$2.9760 hourly,$11.5680 hourly,$8.9220 hourly
688,R5B 24xlarge,r5b.24xlarge,768,96,EBS only,25 Gigabit,7.152,$4.5058 hourly,$3.7904 hourly,$11.5680 hourly,$8.9218 hourly
689,P2 General Purpose GPU Eight Extra Large,p2.8xlarge,488,32,EBS only,10 Gigabit,7.2,$4.9140 hourly,$3.1265 hourly,$8.6720 hourly,$6.3860 hourly
690,C6IN Metal,c6in.metal,256,12,EBS only,200 Gigabit,7.2576,$4.5723 hourly,$3.2196 hourly,$13.1456 hourly,$10.4603 hourly
691,R6ID 24xlarge,r6id.24xlarge,768,96,5700 GB                 (4 * 1425 GB NVMe SSD),37.5 Gigabit,7.2576,$4.5612 hourly,$2.9303 hourly,$11.6736 hourly,$8.9772 hourly
692,R6A 32xlarge,r6a.32xlarge,1024,12,EBS only,50 Gigabit,7.2576,$4.8009 hourly,$3.0258 hourly,$13.1456 hourly,$10.6889 hourly
693,C6IN 32xlarge,c6in.32xlarge,256,12,EBS only,200 Gigabit,7.2576,$4.5723 hourly,$3.1252 hourly,$13.1456 hourly,$10.4603 hourly
694,R7A 24xlarge,r7a.24xlarge,768,96,EBS only,37.5 Gigabit,7.3032,$4.8311 hourly,$3.0695 hourly,$11.7192 hourly,$9.2471 hourly
695,C6A 48xlarge,c6a.48xlarge,384,19,EBS only,50 Gigabit,7.344,$4.8581 hourly,$3.3760 hourly,$16.1760 hourly,$13.6901 hourly
696,C6A Metal,c6a.metal,384,19,EBS only,50 Gigabit,7.344,$4.8581 hourly,$3.1880 hourly,$16.1760 hourly,$13.6901 hourly
697,M7A 32xlarge,m7a.32xlarge,512,12,EBS only,50 Gigabit,7.4189,$4.9076 hourly,$3.1464 hourly,$13.3069 hourly,$10.7956 hourly
698,M6ID 32xlarge,m6id.32xlarge,512,12,7600 GB                 (4 * 1900 GB NVMe SSD),50 Gigabit,7.5936,$4.7840 hourly,$3.4242 hourly,$13.4816 hourly,$10.6720 hourly
699,M6ID Metal,m6id.metal,512,12,7600 GB                 (4 * 1900 GB NVMe SSD),50 Gigabit,7.5936,$4.7840 hourly,$3.6233 hourly,$13.4816 hourly,$10.6720 hourly
700,M6IDN 24xlarge,m6idn.24xlarge,384,96,5700 GB                 (4 * 1425 GB NVMe SSD),150 Gigabit,7.6378,$4.8118 hourly,$3.0379 hourly,$12.0538 hourly,$9.2278 hourly
701,G4DN Metal,g4dn.metal,384,96,1800 GB                 (2 * 900 GB NVMe SSD),100 Gigabit,7.824,$4.9290 hourly,$3.5695 hourly,$12.2400 hourly,$9.3450 hourly
702,R5DN 24xlarge,r5dn.24xlarge,768,96,3600 GB                 (4 * 900 GB NVMe SSD),100 Gigabit,8.016,$5.0500 hourly,$3.1137 hourly,$12.4320 hourly,$9.4660 hourly
703,R5DN Metal,r5dn.metal,768,96,3600 GB                 (4 * 900 GB NVMe SSD),100 Gigabit,8.016,$5.0500 hourly,$3.4856 hourly,$12.4320 hourly,$9.4660 hourly
704,R6I Metal,r6i.metal,1024,12,EBS only,50 Gigabit,8.064,$5.3343 hourly,$3.3294 hourly,$13.9520 hourly,$11.2223 hourly
705,R6I 32xlarge,r6i.32xlarge,1024,12,EBS only,50 Gigabit,8.064,$5.3343 hourly,$3.5941 hourly,$13.9520 hourly,$11.2223 hourly
706,G5 Graphics and Machine Learning GPU 24xlarge,g5.24xlarge,384,96,3800 GB                 NVMe SSD,50 Gigabit,8.144,$5.1307 hourly,$4.5504 hourly,$12.5600 hourly,$9.5467 hourly
707,I4I 24xlarge,i4i.24xlarge,768,96,22500 GB                 (6 * 3750 GB NVMe SSD),56.25 Gigabit,8.2368,$5.3449 hourly,$3.0813 hourly,$12.6528 hourly,$9.7609 hourly
708,M6A 48xlarge,m6a.48xlarge,768,19,EBS only,50 Gigabit,8.2944,$5.4867 hourly,$3.5858 hourly,$17.1264 hourly,$14.3187 hourly
709,M6A Metal,m6a.metal,768,19,EBS only,50 Gigabit,8.2944,$5.4867 hourly,$3.7354 hourly,$17.1264 hourly,$14.3187 hourly
710,R6IN 24xlarge,r6in.24xlarge,768,96,EBS only,150 Gigabit,8.3678,$5.2717 hourly,$3.6362 hourly,$12.7838 hourly,$9.6877 hourly
711,C7I 48xlarge,c7i.48xlarge,384,19,EBS only,50 Gigabit,8.568,$5.6677 hourly,$3.6137 hourly,$17.4000 hourly,$14.4997 hourly
712,C7I Metal-48xl,c7i.metal-48xl,384,19,EBS only,50 Gigabit,8.568,$5.6677 hourly,$3.3119 hourly,$17.4000 hourly,$14.4997 hourly
713,M6IN Metal,m6in.metal,512,12,EBS only,200 Gigabit,8.9107,$5.6137 hourly,$3.8099 hourly,$14.7987 hourly,$11.5017 hourly
714,M6IN 32xlarge,m6in.32xlarge,512,12,EBS only,200 Gigabit,8.9107,$5.6137 hourly,$4.0106 hourly,$14.7987 hourly,$11.5017 hourly
715,R6IDN 24xlarge,r6idn.24xlarge,768,96,5700 GB                 (4 * 1425 GB NVMe SSD),150 Gigabit,9.3787,$5.9086 hourly,$4.2050 hourly,$13.7947 hourly,$10.3246 hourly
716,R6ID 32xlarge,r6id.32xlarge,1024,12,7600 GB                 (4 * 1900 GB NVMe SSD),50 Gigabit,9.6768,$6.0816 hourly,$3.7351 hourly,$15.5648 hourly,$11.9696 hourly
717,R6ID Metal,r6id.metal,1024,12,7600 GB                 (4 * 1900 GB NVMe SSD),50 Gigabit,9.6768,$6.0816 hourly,$4.2110 hourly,$15.5648 hourly,$11.9696 hourly
718,M7I Metal-48xl,m7i.metal-48xl,768,19,EBS only,50 Gigabit,9.6768,$6.4012 hourly,$3.6235 hourly,$18.5088 hourly,$15.2332 hourly
719,M7I 48xlarge,m7i.48xlarge,768,19,EBS only,50 Gigabit,9.6768,$6.4012 hourly,$4.2281 hourly,$18.5088 hourly,$15.2332 hourly
720,R7A 32xlarge,r7a.32xlarge,1024,12,EBS only,50 Gigabit,9.7376,$6.4414 hourly,$4.0440 hourly,$15.6256 hourly,$12.3294 hourly
721,C7A Metal-48xl,c7a.metal-48xl,384,19,EBS only,50 Gigabit,9.8534,$6.5180 hourly,$2.4549 hourly,$18.6854 hourly,$15.3500 hourly
722,C7A 48xlarge,c7a.48xlarge,384,19,EBS only,50 Gigabit,9.8534,$6.5180 hourly,$2.7248 hourly,$18.6854 hourly,$15.3500 hourly
723,X2IDN 24xlarge,x2idn.24xlarge,1536,96,2850 GB                 (2 * 1425 GB NVMe SSD),75 Gigabit,10.0035,$6.1551 hourly,$3.8943 hourly,$14.4195 hourly,$10.5711 hourly
724,X2IEZN 12xlarge,x2iezn.12xlarge,1536,48,EBS only,100 Gigabit,10.008,$6.1614 hourly,$4.2343 hourly,$12.2160 hourly,$8.3694 hourly
725,X2IEZN Metal,x2iezn.metal,1536,48,EBS only,100 Gigabit,10.008,$6.1614 hourly,$4.2065 hourly,$12.2160 hourly,$8.3694 hourly
726,M6IDN Metal,m6idn.metal,512,12,7600 GB                 (4 * 1900 GB NVMe SSD),200 Gigabit,10.1837,$6.4157 hourly,$4.1581 hourly,$16.0717 hourly,$12.3037 hourly
727,M6IDN 32xlarge,m6idn.32xlarge,512,12,7600 GB                 (4 * 1900 GB NVMe SSD),200 Gigabit,10.1837,$6.4157 hourly,$4.2617 hourly,$16.0717 hourly,$12.3037 hourly
728,I3EN 24xlarge,i3en.24xlarge,768,96,60000 GB                 (8 * 7500 GB NVMe SSD),100 Gigabit,10.848,$7.3880 hourly,$4.6120 hourly,$15.2640 hourly,$11.8040 hourly
729,I3EN Metal,i3en.metal,768,96,60000 GB                 (8 * 7500 GB NVMe SSD),100 Gigabit,10.848,$7.3880 hourly,$4.3598 hourly,$15.2640 hourly,$11.8040 hourly
730,R6A 48xlarge,r6a.48xlarge,1536,19,EBS only,50 Gigabit,10.8864,$7.2013 hourly,$4.5545 hourly,$19.7184 hourly,$16.0333 hourly
731,R6A Metal,r6a.metal,1536,19,EBS only,50 Gigabit,10.8864,$7.2013 hourly,$4.8494 hourly,$19.7184 hourly,$16.0333 hourly
732,I4I Metal,i4i.metal,1024,12,30000 GB                 (8 * 3750 GB NVMe SSD),75 Gigabit,10.982,$7.1270 hourly,$4.7437 hourly,$16.8700 hourly,$13.0150 hourly
733,I4I 32xlarge,i4i.32xlarge,1024,12,30000 GB                 (8 * 3750 GB NVMe SSD),75 Gigabit,10.9824,$7.1266 hourly,$4.2445 hourly,$16.8704 hourly,$13.0146 hourly
734,M7A 48xlarge,m7a.48xlarge,768,19,EBS only,50 Gigabit,11.1283,$7.3614 hourly,$4.6271 hourly,$19.9603 hourly,$16.1934 hourly
735,M7A Metal-48xl,m7a.metal-48xl,768,19,EBS only,50 Gigabit,11.1283,$7.3614 hourly,$5.0035 hourly,$19.9603 hourly,$16.1934 hourly
736,R6IN Metal,r6in.metal,1024,12,EBS only,200 Gigabit,11.1571,$7.0290 hourly,$4.1796 hourly,$17.0451 hourly,$12.9170 hourly
737,R6IN 32xlarge,r6in.32xlarge,1024,12,EBS only,200 Gigabit,11.1571,$7.0290 hourly,$5.0594 hourly,$17.0451 hourly,$12.9170 hourly
738,R7IZ 32xlarge,r7iz.32xlarge,1024,12,EBS only,50 Gigabit,11.904,$7.4995 hourly,$4.8772 hourly,$17.7920 hourly,$13.3875 hourly
739,R7IZ Metal-32xl,r7iz.metal-32xl,1024,12,EBS only,50 Gigabit,11.904,$7.4995 hourly,$4.9810 hourly,$17.7920 hourly,$13.3875 hourly
740,P3 High Performance GPU Eight Extra Large,p3.8xlarge,244,32,EBS only,10 Gigabit,12.24,$8.3540 hourly,$5.4022 hourly,$13.7120 hourly,$9.8260 hourly
741,R6IDN Metal,r6idn.metal,1024,12,7600 GB                 (4 * 1900 GB NVMe SSD),200 Gigabit,12.505,$7.8781 hourly,$5.1750 hourly,$18.3930 hourly,$13.7661 hourly
742,R6IDN 32xlarge,r6idn.32xlarge,1024,12,7600 GB                 (4 * 1900 GB NVMe SSD),200 Gigabit,12.505,$7.8781 hourly,$5.9604 hourly,$18.3930 hourly,$13.7661 hourly
743,R7I 48xlarge,r7i.48xlarge,1536,19,EBS only,50 Gigabit,12.7008,$8.4016 hourly,$5.7070 hourly,$21.5328 hourly,$17.2336 hourly
744,R7I Metal-48xl,r7i.metal-48xl,1536,19,EBS only,50 Gigabit,12.7008,$8.4016 hourly,$5.0394 hourly,$21.5328 hourly,$17.2336 hourly
745,INF2 48xlarge,inf2.48xlarge,768,19,EBS only,100 Gigabit,12.9813,$8.1782 hourly,$5.1472 hourly,,
746,DL1 24xlarge,dl1.24xlarge,768,96,4000 GB                 (4 * 1000 GB NVMe SSD),4x 100 Gigabit,13.109,$8.2587 hourly,$5.4424 hourly,,
747,F1 16xlarge,f1.16xlarge,976,64,3760 GB                 (4 * 940 GB NVMe SSD),25 Gigabit,13.2,$8.9250 hourly,$5.2627 hourly,,
748,X2IDN Metal,x2idn.metal,2048,12,3800 GB                 (2 * 1900 GB NVMe SSD),100 Gigabit,13.338,$8.2069 hourly,$5.2302 hourly,$19.2260 hourly,$14.0949 hourly
749,X2IEDN 16xlarge,x2iedn.16xlarge,2048,64,1900 GB                 NVMe SSD,50 Gigabit,13.338,$8.2069 hourly,$4.9086 hourly,$16.2820 hourly,$11.1509 hourly
750,X1 Extra High-Memory 32xlarge,x1.32xlarge,1952,12,3840 GB                 (2 * 1920 GB SSD),25 Gigabit,13.338,$8.2190 hourly,$4.9364 hourly,$19.2260 hourly,$14.1070 hourly
751,X2IDN 32xlarge,x2idn.32xlarge,2048,12,3800 GB                 (2 * 1900 GB NVMe SSD),100 Gigabit,13.338,$8.2069 hourly,$5.1731 hourly,$19.2260 hourly,$14.0949 hourly
752,X1E 16xlarge,x1e.16xlarge,1952,64,1920 GB                 SSD,10 Gigabit,13.344,$8.2230 hourly,$5.0262 hourly,$16.2880 hourly,$11.1670 hourly
753,G6 Graphics and Machine Learning GPU 48xlarge,g6.48xlarge,768,19,60800 GB                 (8 * 7600 GB NVMe SSD),100 Gigabit,13.3504,$8.6911 hourly,$2.1266 hourly,$22.1824 hourly,$17.5231 hourly
754,P2 General Purpose GPU 16xlarge,p2.16xlarge,732,64,EBS only,25 Gigabit,14.4,$9.8280 hourly,$5.7878 hourly,$17.3440 hourly,$12.7720 hourly
755,R7A 48xlarge,r7a.48xlarge,1536,19,EBS only,50 Gigabit,14.6064,$9.6621 hourly,$6.1878 hourly,$23.4384 hourly,$18.4941 hourly
756,R7A Metal-48xl,r7a.metal-48xl,1536,19,EBS only,50 Gigabit,14.6064,$9.6621 hourly,$5.0053 hourly,$23.4384 hourly,$18.4941 hourly
757,G5 Graphics and Machine Learning GPU 48xlarge,g5.48xlarge,768,19,7600 GB                 (2 * 3800 GB NVMe SSD),100 Gigabit,16.288,$10.2614 hourly,$6.6779 hourly,$25.1200 hourly,$19.0934 hourly
758,X2IEDN 24xlarge,x2iedn.24xlarge,3072,96,2850 GB                 (2 * 1425 GB NVMe SSD),75 Gigabit,20.007,$12.3103 hourly,$7.7453 hourly,$24.4230 hourly,$16.7263 hourly
759,TRN1 32xlarge,trn1.32xlarge,512,12,7600 GB                 (4 * 1900 GB NVMe SSD),8x 100 Gigabit,21.5,$13.2289 hourly,$8.2063 hourly,,
760,P3 High Performance GPU 16xlarge,p3.16xlarge,488,64,EBS only,25 Gigabit,24.48,$16.7080 hourly,$9.9676 hourly,$27.4240 hourly,$19.6520 hourly
761,TRN1N 32xlarge,trn1n.32xlarge,512,12,7600 GB                 (4 * 1900 GB NVMe SSD),16x 100 Gigabit,24.78,$15.2471 hourly,$10.2986 hourly,,
762,X2IEDN 32xlarge,x2iedn.32xlarge,4096,12,3800 GB                 (2 * 1900 GB NVMe SSD),100 Gigabit,26.676,$16.4137 hourly,$10.6329 hourly,$32.5640 hourly,$22.3017 hourly
763,X2IEDN Metal,x2iedn.metal,4096,12,3800 GB                 (2 * 1900 GB NVMe SSD),100 Gigabit,26.676,$16.4137 hourly,$9.9313 hourly,$32.5640 hourly,$22.3017 hourly
764,X1E 32xlarge,x1e.32xlarge,3904,12,3840 GB                 (2 * 1920 GB SSD),25 Gigabit,26.688,$16.4460 hourly,$9.5334 hourly,$32.5760 hourly,$22.3340 hourly
765,U-3TB1 56xlarge,u-3tb1.56xlarge,3072,22,EBS only,50 Gigabit,27.3,$16.8235 hourly,,$37.6040 hourly,$27.1275 hourly
766,P3DN 24xlarge,p3dn.24xlarge,768,96,1800 GB                 (2 * 900 GB NVMe SSD),100 Gigabit,31.212,$19.2150 hourly,$13.3373 hourly,$35.6280 hourly,$23.6310 hourly
767,P4D Highest Performance GPU 24xlarge,p4d.24xlarge,1152,96,8000 GB                 (8 * 1000 GB NVMe SSD),4x 100 Gigabit,32.7726,$20.1755 hourly,$13.6675 hourly,,
768,P4DE 24xlarge,p4de.24xlarge,1152,96,EBS only,400 Gigabit,40.9657,$25.2194 hourly,,,
769,U-6TB1 56xlarge,u-6tb1.56xlarge,6144,22,EBS only,100 Gigabit,46.4039,$28.5962 hourly,,$56.7079 hourly,$38.9002 hourly
770,U-6TB1 112xlarge,u-6tb1.112xlarge,6144,44,EBS only,100 Gigabit,54.6,$33.6470 hourly,,$75.2080 hourly,$54.2550 hourly
771,U-9TB1 112xlarge,u-9tb1.112xlarge,9216,44,EBS only,100 Gigabit,81.9,$50.4791 hourly,,$102.5080 hourly,$71.0871 hourly
772,P5 48xlarge,p5.48xlarge,2048,19,30400 GB                 (8 * 3800 GB NVMe SSD),3200 Gigabit,98.32,,$60.5379 hourly,,
773,U-12TB1 112xlarge,u-12tb1.112xlarge,12288,44,EBS only,100 Gigabit,109.2,$67.3054 hourly,,$129.8080 hourly,$87.9134 hourly
774,U7I-12TB 224xlarge,u7i-12tb.224xlarge,12288,89,EBS only,100 Gigabit,152.88,$94.2276 hourly,,$194.0960 hourly,$135.4436 hourly
775,U-18TB1 112xlarge,u-18tb1.112xlarge,18432,44,EBS only,100 Gigabit,163.8,$100.9409 hourly,,$184.4080 hourly,$121.5489 hourly
776,U7IN-16TB 224xlarge,u7in-16tb.224xlarge,16384,89,EBS only,200 Gigabit,203.84,$125.6154 hourly,,$245.0560 hourly,$166.8314 hourly
777,U-24TB1 112xlarge,u-24tb1.112xlarge,24576,44,EBS only,100 Gigabit,218.4,$134.5879 hourly,,$239.0080 hourly,$155.1959 hourly
778,U7IN-24TB 224xlarge,u7in-24tb.224xlarge,24576,89,EBS only,200 Gigabit,305.76,$188.4231 hourly,,$346.9760 hourly,$229.6391 hourly
779,U7IN-32TB 224xlarge,u7in-32tb.224xlarge,32768,89,EBS only,200 Gigabit,407.68,$251.2308 hourly,,$448.8960 hourly,$292.4468 hourly
780,HPC7A 96xlarge,hpc7a.96xlarge,768,19,EBS only,300 Gigabit,,,,,
781,HPC7A 24xlarge,hpc7a.24xlarge,768,48,EBS only,300 Gigabit,,,,,
782,U-12TB1 Metal,u-12tb1.metal,12288,44,EBS only,100 Gigabit,,,,,
783,HPC6ID 32xlarge,hpc6id.32xlarge,1024,64,EBS only,200 Gigabit,,,,,
784,HPC7A 12xlarge,hpc7a.12xlarge,768,24,EBS only,300 Gigabit,,,,,
785,HPC6A 48xlarge,hpc6a.48xlarge,384,96,EBS only,100 Gigabit,,,,,
786,HPC7A 48xlarge,hpc7a.48xlarge,768,96,EBS only,300 Gigabit,,,,,
787,U-9TB1 Metal,u-9tb1.metal,9216,44,EBS only,100 Gigabit,,,,,
788,U-6TB1 Metal,u-6tb1.metal,6144,44,EBS only,100 Gigabit,,,,,
789,I2 Large,i2.large,15,2,EBS only,Moderate,,,,,
790,MAC1 Metal,mac1.metal,32,12,EBS only,25 Gigabit,,,,,
791,MAC2-M2 Metal,mac2-m2.metal,24,12,EBS only,10 Gigabit,,,,,
792,MAC2 Metal,mac2.metal,16,12,EBS only,10 Gigabit,,,,,
793,MAC2-M2PRO Metal,mac2-m2pro.metal,32,20,EBS only,10 Gigabit,,,,,
794,U-18TB1 Metal,u-18tb1.metal,18432,44,EBS only,100 Gigabit,,,,,
795,U-24TB1 Metal,u-24tb1.metal,24576,44,EBS only,100 Gigabit,,,,,
796,High Storage Eight Extra Large,hs1.8xlarge,117,16,EBS only,10 Gigabit,,,,,
797,Cluster Compute Eight Extra Large,cc2.8xlarge,60.5,32,EBS only,10 Gigabit,,,,,
798,C7I-FLEX Extra Large,c7i-flex.xlarge,8,4,EBS only,Up to 12500 Megabit,,,,,
799,C7I-FLEX Eight Extra Large,c7i-flex.8xlarge,64,32,EBS only,Up to 12500 Megabit,,,,,
800,C7I-FLEX Large,c7i-flex.large,4,2,EBS only,Up to 12500 Megabit,,,,,
801,C7I-FLEX Quadruple Extra Large,c7i-flex.4xlarge,32,16,EBS only,Up to 12500 Megabit,,,,,
802,C7I-FLEX Double Extra Large,c7i-flex.2xlarge,16,8,EBS only,Up to 12500 Megabit,,,,,
