,Name,API_Name,Instance_Memory,vCPUs,Instance_Storage,Network_Performance,On_Demand,Linux_Reserved_cost,Linux_Spot_Minimum_cost,Windows_On_Demand_cost,Windows_Reserved_cost
538,M5DN 12xlarge,m5dn.12xlarge,192,48,1800 GB                 (2 * 900 GB NVMe SSD),50 Gigabit,3.264,$2.0560 hourly,$1.4569 hourly,$5.4720 hourly,$4.2640 hourly
539,R7GD 12xlarge,r7gd.12xlarge,384,48,2850 GB                 (2 * 1425 GB NVMe SSD),22.5 Gigabit,3.2659,$2.0525 hourly,$1.3950 hourly,,
540,C7A 16xlarge,c7a.16xlarge,128,64,EBS only,25 Gigabit,3.2845,$2.1727 hourly,$0.8756 hourly,$6.2285 hourly,$5.1167 hourly
541,M5AD 16xlarge,m5ad.16xlarge,256,64,2400 GB                 (4 * 600 GB NVMe SSD),12 Gigabit,3.296,$2.0760 hourly,$1.4505 hourly,$6.2400 hourly,$5.0200 hourly
542,F1 Quadruple Extra Large,f1.4xlarge,244,16,940 GB                 NVMe SSD,Up to 10 Gigabit,3.3,$2.2310 hourly,$1.2922 hourly,,
543,X2IEDN Quadruple Extra Large,x2iedn.4xlarge,512,16,475 GB                 NVMe SSD,Up to 25 Gigabit,3.3345,$2.0517 hourly,$1.4534 hourly,$4.0705 hourly,$2.7877 hourly
544,X1E Quadruple Extra Large,x1e.4xlarge,488,16,480 GB                 SSD,Up to 10 Gigabit,3.336,$2.0560 hourly,$1.3535 hourly,$4.0720 hourly,$2.7920 hourly
545,X2IEZN Quadruple Extra Large,x2iezn.4xlarge,512,16,EBS only,Up to 25 Gigabit,3.336,$2.0538 hourly,$1.4767 hourly,$4.0720 hourly,$2.7898 hourly
546,M6IN 12xlarge,m6in.12xlarge,192,48,EBS only,75 Gigabit,3.3415,$2.1052 hourly,$1.6885 hourly,$5.5495 hourly,$4.3132 hourly
547,G6 Graphics and Machine Learning GPU 16xlarge,g6.16xlarge,256,64,3800 GB                 (2 * 1900 GB NVMe SSD),25 Gigabit,3.3968,$2.2113 hourly,$0.5138 hourly,$6.3408 hourly,$5.1553 hourly
548,I2 Quadruple Extra Large,i2.4xlarge,122,16,3200 GB                 (4 * 800 GB SSD),High,3.41,$1.6960 hourly,$1.3150 hourly,$3.8910 hourly,$2.2600 hourly
549,M7GD 16xlarge,m7gd.16xlarge,256,64,3800 GB                 (2 * 1900 GB NVMe SSD),30 Gigabit,3.4171,$2.1528 hourly,$1.5410 hourly,,
550,M7GD Metal,m7gd.metal,256,64,3800 GB                 (2 * 1900 GB NVMe SSD),30 Gigabit,3.4171,$2.1528 hourly,$0.8852 hourly,,
551,R7G Metal,r7g.metal,512,64,EBS only,30 Gigabit,3.4272,$2.2671 hourly,$1.4274 hourly,,
552,R7G 16xlarge,r7g.16xlarge,512,64,EBS only,30 Gigabit,3.4272,$2.2671 hourly,$1.4384 hourly,,
553,R5D 12xlarge,r5d.12xlarge,384,48,1800 GB                 (2 * 900 GB NVMe SSD),12 Gigabit,3.456,$2.1770 hourly,$1.5395 hourly,$5.6640 hourly,$4.3850 hourly
554,C5 High-CPU 18xlarge,c5d.18xlarge,144,72,1800 GB                 (2 * 900 GB NVMe SSD),25 Gigabit,3.456,$2.1770 hourly,$1.4311 hourly,$6.7680 hourly,$5.4890 hourly
555,G4AD 16xlarge,g4ad.16xlarge,256,64,2400 GB                 (2 * 1200 GB NVMe SSD),25 Gigabit,3.468,$2.1848 hourly,$1.5535 hourly,$6.4120 hourly,$5.1288 hourly
556,High Memory Cluster Eight Extra Large,cr1.8xlarge,244,32,EBS only,10 Gigabit,3.5,,,$3.8310 hourly,
557,R5B 12xlarge,r5b.12xlarge,384,48,EBS only,12 Gigabit,3.576,$2.2529 hourly,$1.9977 hourly,$5.7840 hourly,$4.4609 hourly
558,R5N 12xlarge,r5n.12xlarge,384,48,EBS only,50 Gigabit,3.576,$2.2530 hourly,$1.7913 hourly,$5.7840 hourly,$4.4610 hourly
559,M5 General Purpose 16xlarge,m5d.16xlarge,256,64,2400 GB                 (4 * 600 GB NVMe SSD),20 Gigabit,3.616,$2.2780 hourly,$1.5784 hourly,$6.5600 hourly,$5.2220 hourly
560,R5A 16xlarge,r5a.16xlarge,512,64,EBS only,12 Gigabit,3.616,$2.2780 hourly,$1.5832 hourly,$6.5600 hourly,$5.2220 hourly
561,R6A 16xlarge,r6a.16xlarge,512,64,EBS only,25 Gigabit,3.6288,$2.4005 hourly,$1.5904 hourly,$6.5728 hourly,$5.3445 hourly
562,C6IN 16xlarge,c6in.16xlarge,128,64,EBS only,100 Gigabit,3.6288,$2.2861 hourly,$1.6949 hourly,$6.5728 hourly,$5.2301 hourly
563,R6ID 12xlarge,r6id.12xlarge,384,48,2850 GB                 (2 * 1425 GB NVMe SSD),18.75 Gigabit,3.6288,$2.2806 hourly,$1.6033 hourly,$5.8368 hourly,$4.4886 hourly
564,R7A 12xlarge,r7a.12xlarge,384,48,EBS only,18.75 Gigabit,3.6516,$2.4155 hourly,$1.7559 hourly,$5.8596 hourly,$4.6235 hourly
565,C6A 24xlarge,c6a.24xlarge,192,96,EBS only,37.5 Gigabit,3.672,$2.4290 hourly,$1.6393 hourly,$8.0880 hourly,$6.8450 hourly
566,R6GD 16xlarge,r6gd.16xlarge,512,64,3800 GB                 (2 * 1900 GB NVMe SSD),25 Gigabit,3.6864,$2.3224 hourly,$1.4253 hourly,,
567,R6GD Metal,r6gd.metal,512,64,3800 GB                 (2 * 1900 GB NVMe SSD),25 Gigabit,3.6864,$2.3224 hourly,$1.5401 hourly,,
568,C5A 24xlarge,c5a.24xlarge,192,96,EBS only,20 Gigabit,3.696,$2.3280 hourly,$1.7474 hourly,$8.1120 hourly,$6.7440 hourly
569,M7A 16xlarge,m7a.16xlarge,256,64,EBS only,25 Gigabit,3.7094,$2.4538 hourly,$1.5055 hourly,$6.6534 hourly,$5.3978 hourly
570,H1 16xlarge,h1.16xlarge,256,64,16000 GB                 (8 * 2000 GB HDD),25 Gigabit,3.744,$2.5450 hourly,$2.2057 hourly,$6.6880 hourly,$5.4890 hourly
571,M6ID 16xlarge,m6id.16xlarge,256,64,3800 GB                 (2 * 1900 GB NVMe SSD),25 Gigabit,3.7968,$2.3920 hourly,$1.5974 hourly,$6.7408 hourly,$5.3360 hourly
572,M5N 16xlarge,m5n.16xlarge,256,64,EBS only,75 Gigabit,3.808,$2.3990 hourly,$1.8731 hourly,$6.7520 hourly,$5.3430 hourly
573,M6IDN 12xlarge,m6idn.12xlarge,192,48,2850 GB                 (2 * 1425 GB NVMe SSD),75 Gigabit,3.8189,$2.4059 hourly,$1.6754 hourly,$6.0269 hourly,$4.6139 hourly
574,C5N 18xlarge,c5n.18xlarge,192,72,EBS only,100 Gigabit,3.888,$2.4490 hourly,$1.7786 hourly,$7.2000 hourly,$5.7610 hourly
575,C5N Metal,c5n.metal,192,72,EBS only,100 Gigabit,3.888,$2.4490 hourly,$1.7152 hourly,$7.2000 hourly,$5.7610 hourly
576,G4DN 12xlarge,g4dn.12xlarge,192,48,900 GB                 NVMe SSD,50 Gigabit,3.912,$2.4650 hourly,$1.7806 hourly,$6.1200 hourly,$4.6730 hourly
577,M5ZN Metal,m5zn.metal,192,48,EBS only,100 Gigabit,3.9641,$2.4974 hourly,$1.8333 hourly,$6.1721 hourly,$4.7054 hourly
578,M5ZN 12xlarge,m5zn.12xlarge,192,48,EBS only,100 Gigabit,3.9641,$2.4974 hourly,$1.7475 hourly,$6.1721 hourly,$4.7054 hourly
579,C7GN Metal,c7gn.metal,128,64,EBS only,200 Gigabit,3.9936,$2.5160 hourly,$0.5408 hourly,,
580,C7GN 16xlarge,c7gn.16xlarge,128,64,EBS only,200 Gigabit,3.9936,$2.5160 hourly,$1.7132 hourly,,
581,D3 Eight Extra Large,d3.8xlarge,256,32,47520 GB                 (24 * 1980 GB NVMe HDD),25 Gigabit,3.9955,$2.5172 hourly,$1.5409 hourly,$5.4675 hourly,$3.9892 hourly
582,R5DN 12xlarge,r5dn.12xlarge,384,48,1800 GB                 (2 * 900 GB NVMe SSD),50 Gigabit,4.008,$2.5250 hourly,$2.0980 hourly,$6.2160 hourly,$4.7330 hourly
583,X2GD 12xlarge,x2gd.12xlarge,768,48,2850 GB                 (2 * 1425 GB NVMe SSD),20 Gigabit,4.008,$2.4699 hourly,$1.8122 hourly,,
584,R5 16xlarge,r5.16xlarge,512,64,EBS only,20 Gigabit,4.032,$2.5400 hourly,$1.8348 hourly,$6.9760 hourly,$5.4840 hourly
585,R6I 16xlarge,r6i.16xlarge,512,64,EBS only,25 Gigabit,4.032,$2.6672 hourly,$1.6794 hourly,$6.9760 hourly,$5.6112 hourly
586,C5 High-CPU Metal,c5.metal,192,96,EBS only,25 Gigabit,4.08,$2.5700 hourly,$1.7484 hourly,$8.4960 hourly,$6.9860 hourly
587,C6I 24xlarge,c6i.24xlarge,192,96,EBS only,37.5 Gigabit,4.08,$2.6989 hourly,$1.7526 hourly,$8.4960 hourly,$7.1149 hourly
588,C5 High-CPU 24xlarge,c5.24xlarge,192,96,EBS only,25 Gigabit,4.08,$2.5700 hourly,$1.6977 hourly,$8.4960 hourly,$6.9860 hourly
589,G5 Graphics and Machine Learning GPU 16xlarge,g5.16xlarge,256,64,1900 GB                 NVMe SSD,25 Gigabit,4.096,$2.5805 hourly,$1.9696 hourly,$7.0400 hourly,$5.5245 hourly
590,I4I 12xlarge,i4i.12xlarge,384,48,11250 GB                 (3 * 3750 GB NVMe SSD),28.12 Gigabit,4.118,$2.6720 hourly,$1.9740 hourly,$6.3260 hourly,$4.8800 hourly
591,M5A 24xlarge,m5a.24xlarge,384,96,EBS only,20 Gigabit,4.128,$2.6010 hourly,$1.8195 hourly,$8.5440 hourly,$7.0170 hourly
592,C5AD 24xlarge,c5ad.24xlarge,192,96,3800 GB                 (2 * 1900 GB NVMe SSD),20 Gigabit,4.128,$2.6010 hourly,$1.6966 hourly,$8.5440 hourly,$7.0170 hourly
593,M6A 24xlarge,m6a.24xlarge,384,96,EBS only,37.5 Gigabit,4.1472,$2.7434 hourly,$1.8730 hourly,$8.5632 hourly,$7.1594 hourly
594,R6IN 12xlarge,r6in.12xlarge,384,48,EBS only,75 Gigabit,4.1839,$2.6359 hourly,$2.0644 hourly,$6.3919 hourly,$4.8439 hourly
595,R5AD 16xlarge,r5ad.16xlarge,512,64,2400 GB                 (4 * 600 GB NVMe SSD),12 Gigabit,4.192,$2.6410 hourly,$1.8776 hourly,$7.1360 hourly,$5.5850 hourly
596,D3EN Eight Extra Large,d3en.8xlarge,128,32,223680 GB                 (16 * 13980 GB NVMe HDD),50 Gigabit,4.2058,$2.6496 hourly,$1.7442 hourly,$5.6778 hourly,$4.1216 hourly
597,R7I 16xlarge,r7i.16xlarge,512,64,EBS only,25 Gigabit,4.2336,$2.8005 hourly,$1.6973 hourly,$7.1776 hourly,$5.7445 hourly
598,R4 High-Memory 16xlarge,r4.16xlarge,488,64,EBS only,25 Gigabit,4.256,$2.6880 hourly,$1.6836 hourly,$7.2000 hourly,$5.6320 hourly
599,C7I Metal-24xl,c7i.metal-24xl,192,96,EBS only,37.5 Gigabit,4.284,$2.8339 hourly,$1.8119 hourly,$8.7000 hourly,$7.2499 hourly
600,C7I 24xlarge,c7i.24xlarge,192,96,EBS only,37.5 Gigabit,4.284,$2.8339 hourly,$1.8494 hourly,$8.7000 hourly,$7.2499 hourly
601,M5DN 16xlarge,m5dn.16xlarge,256,64,2400 GB                 (4 * 600 GB NVMe SSD),75 Gigabit,4.352,$2.7420 hourly,$1.7897 hourly,$7.2960 hourly,$5.6860 hourly
602,G4DN 16xlarge,g4dn.16xlarge,256,64,900 GB                 NVMe SSD,50 Gigabit,4.352,$2.7420 hourly,$1.6194 hourly,$7.2960 hourly,$5.6860 hourly
603,R7GD Metal,r7gd.metal,512,64,3800 GB                 (2 * 1900 GB NVMe SSD),30 Gigabit,4.3546,$2.7367 hourly,$0.5550 hourly,,
604,R7GD 16xlarge,r7gd.16xlarge,512,64,3800 GB                 (2 * 1900 GB NVMe SSD),30 Gigabit,4.3546,$2.7367 hourly,$1.7731 hourly,,
605,M6IN 16xlarge,m6in.16xlarge,256,64,EBS only,100 Gigabit,4.4554,$2.8069 hourly,$2.3486 hourly,$7.3994 hourly,$5.7509 hourly
606,R7IZ 12xlarge,r7iz.12xlarge,384,48,EBS only,25 Gigabit,4.464,$2.8123 hourly,$1.9820 hourly,$6.6720 hourly,$5.0203 hourly
607,Z1D 12xlarge,z1d.12xlarge,384,48,1800 GB                 (2 * 900 GB NVMe SSD),25 Gigabit,4.464,$2.8120 hourly,$1.8770 hourly,$6.6720 hourly,$5.0200 hourly
608,Z1D Metal,z1d.metal,384,48,1800 GB                 (2 * 900 GB NVMe SSD),25 Gigabit,4.464,$2.8120 hourly,$1.8084 hourly,$6.6720 hourly,$5.0200 hourly
609,G3 Graphics GPU 16xlarge,g3.16xlarge,488,64,EBS only,25 Gigabit,4.56,$3.1122 hourly,$1.9304 hourly,$7.5040 hourly,$6.0562 hourly
610,G6 Graphics and Machine Learning GPU 12xlarge,g6.12xlarge,192,48,15200 GB                 (4 * 3800 GB NVMe SSD),40 Gigabit,4.6016,$2.9956 hourly,$0.7321 hourly,$6.8096 hourly,$5.2036 hourly
611,C5 High-CPU 24xlarge,c5d.24xlarge,192,96,3600 GB                 (4 * 900 GB NVMe SSD),25 Gigabit,4.608,$2.9030 hourly,$2.0648 hourly,$9.0240 hourly,$7.3190 hourly
612,C5 High-CPU Metal,c5d.metal,192,96,3600 GB                 (4 * 900 GB NVMe SSD),25 Gigabit,4.608,$2.9030 hourly,$1.9569 hourly,$9.0240 hourly,$7.3190 hourly
613,R5D 16xlarge,r5d.16xlarge,512,64,2400 GB                 (4 * 600 GB NVMe SSD),20 Gigabit,4.608,$2.9030 hourly,$1.9602 hourly,$7.5520 hourly,$5.8470 hourly
614,M6I 24xlarge,m6i.24xlarge,384,96,EBS only,37.5 Gigabit,4.608,$3.0482 hourly,$1.9948 hourly,$9.0240 hourly,$7.4642 hourly
615,M5 General Purpose 24xlarge,m5.24xlarge,384,96,EBS only,25 Gigabit,4.608,$2.9030 hourly,$1.9447 hourly,$9.0240 hourly,$7.3190 hourly
616,M5 General Purpose Metal,m5.metal,384,96,EBS only,25 Gigabit,4.608,$2.9030 hourly,$1.9388 hourly,$9.0240 hourly,$7.3190 hourly
